Draw ID,N1,N2,N3,N4,N5,N6,Sum,N1_color,N2_color,N3_color,N4_color,N5_color,N6_color
4975640,29,11,28,40,21,20.0,149.0,Blue,Blue,Red,Red,Green,Blue
4975639,29,21,30,44,6,45.0,175.0,Blue,Green,Green,Blue,Green,Green
4975638,43,42,35,22,39,38.0,219.0,Red,Green,Blue,Red,Green,Blue
4975637,5,25,18,48,21,10.0,127.0,Blue,Red,Green,Green,Green,Red
4975636,21,6,32,48,38,46.0,191.0,Green,Green,Blue,Green,Blue,Red
4975635,46,32,10,26,29,25.0,168.0,Red,Blue,Red,Blue,Blue,Red
4975634,12,4,36,18,35,39.0,144.0,Green,Red,Green,Green,Blue,Green
4975633,20,46,31,13,5,43.0,158.0,Blue,Red,Red,Red,Blue,Red
4975632,35,5,49,48,14,6.0,157.0,Blue,Blue,Yellow,Green,Blue,Green
4975631,4,20,48,1,22,47.0,142.0,Red,Blue,Green,Red,Red,Blue
4975630,10,46,7,16,22,40.0,141.0,Red,Red,Red,Red,Red,Red
4975629,8,10,38,9,20,18.0,103.0,Blue,Red,Blue,Green,Blue,Green
4975628,33,7,19,31,6,38.0,134.0,Green,Red,Red,Red,Green,Blue
4975627,15,36,17,49,3,43.0,163.0,Green,Green,Blue,Yellow,Green,Red
4975626,8,45,5,7,39,28.0,132.0,Blue,Green,Blue,Red,Green,Red
4975625,14,24,6,7,10,34.0,95.0,Blue,Green,Green,Red,Red,Red
4975624,30,19,14,18,36,29.0,146.0,Green,Red,Blue,Green,Green,Blue
4975623,49,48,39,5,44,10.0,195.0,Yellow,Green,Green,Blue,Blue,Red
4975622,2,23,43,46,25,31.0,170.0,Blue,Blue,Red,Red,Red,Red
4975621,42,47,39,13,43,11.0,195.0,Green,Blue,Green,Red,Red,Blue
4975620,15,42,33,29,7,46.0,172.0,Green,Green,Green,Blue,Red,Red
4975619,8,35,36,1,41,4.0,125.0,Blue,Blue,Green,Red,Blue,Red
4975618,25,3,5,49,7,39.0,128.0,Red,Green,Blue,Yellow,Red,Green
4975617,27,35,37,7,11,44.0,161.0,Green,Blue,Red,Red,Blue,Blue
4975616,44,18,25,30,36,13.0,166.0,Blue,Green,Red,Green,Green,Red
4975615,39,33,37,31,8,19.0,167.0,Green,Green,Red,Red,Blue,Red
4975614,30,26,18,21,29,36.0,160.0,Green,Blue,Green,Green,Blue,Green
4975613,45,32,36,15,30,20.0,178.0,Green,Blue,Green,Green,Green,Blue
4975612,45,22,15,5,29,46.0,162.0,Green,Red,Green,Blue,Blue,Red
4975611,43,29,46,5,20,31.0,174.0,Red,Blue,Red,Blue,Blue,Red
4975610,40,6,25,48,10,47.0,176.0,Red,Green,Red,Green,Red,Blue
4975609,40,28,43,24,5,35.0,175.0,Red,Red,Red,Green,Blue,Blue
4975608,31,40,9,1,42,36.0,159.0,Red,Red,Green,Red,Green,Green
4975607,13,2,36,32,14,29.0,126.0,Red,Blue,Green,Blue,Blue,Blue
4975606,45,38,33,7,34,16.0,173.0,Green,Blue,Green,Red,Red,Red
4975605,5,19,6,34,47,14.0,125.0,Blue,Red,Green,Red,Blue,Blue
4975604,16,6,14,24,48,43.0,151.0,Red,Green,Blue,Green,Green,Red
